Superlative,Men,Men.1,Women,Women.1,Year,Winner and nominees,English title,Original title,Winners and nominees,Wins,Director,Nominations
,,,,,2019 (44th),Emmanuel Finkiel,Memoir of War,La Douleur,,,,
,,,,,2019 (44th),Pierre Salvadori,The Trouble with You,En liberté !,,,,
,,,,,2019 (44th),Gilles Lellouche,Sink or Swim,Le Grand Bain,,,,
,,,,,2019 (44th),Alex Lutz,Guy,Guy,,,,
,,,,,2019 (44th),Xavier Legrand,Custody,Jusqu'à la garde,,,,
,,,,,2019 (44th),Jeanne Herry,In Safe Hands,Pupille,,,,
,,,,,2020 (45th),Roman Polanski,An Officer and a Spy,J'accuse,,,,
,,,,,2020 (45th),Nicolas Bedos,La Belle Époque,La Belle Époque,,,,
,,,,,2020 (45th),François Ozon,By the Grace of God,Grâce à Dieu,,,,
,,,,,2020 (45th),Éric Toledano and Olivier Nakache,The Specials,Hors normes,,,,
,,,,,2020 (45th),Ladj Ly,Les Misérables,Les Misérables,,,,
,,,,,2020 (45th),Céline Sciamma,Portrait of a Lady on Fire,Portrait de la jeune fille en feu,,,,
,,,,,2020 (45th),Arnaud Desplechin,Oh Mercy!,"Roubaix, une lumière",,,,
,,,,,2021 (46th) [1],Albert Dupontel,Bye Bye Morons,Adieu les cons,,,,
,,,,,2021 (46th) [1],Maïwenn,DNA,ADN,,,,
,,,,,2021 (46th) [1],Sébastien Lifshitz,Adolescents,Adolescentes,,,,
,,,,,2021 (46th) [1],Emmanuel Mouret,Love Affair(s),"Les Choses qu'on dit, les choses qu'on fait",,,,
,,,,,2021 (46th) [1],François Ozon,Summer of 85,Été 85,,,,
,,,,,2022 (47th) [2],Leos Carax,Annette,Annette,,,,
,,,,,2022 (47th) [2],Audrey Diwan,Happening,L'événement,,,,
,,,,,2022 (47th) [2],Julia Ducournau,Titane,Titane,,,,
,,,,,2022 (47th) [2],Xavier Giannoli,Lost Illusions,Illusions perdues,,,,
,,,,,2022 (47th) [2],Arthur Harari,"Onoda: 10,000 Nights in the Jungle","Onoda, 10 000 nuits dans la jungle",,,,
,,,,,2022 (47th) [2],Cédric Jimenez,The Stronghold,BAC Nord,,,,
,,,,,2022 (47th) [2],Valérie Lemercier,Aline,Aline,,,,
,,,,,2023 (48th),Dominik Moll,The Night of the 12th,La Nuit du 12,,,,
,,,,,2023 (48th),Cedric Klapisch,Rise,En corps,,,,
,,,,,2023 (48th),Louis Garrel,The Innocent,L'Innocent,,,,
,,,,,2023 (48th),Cédric Jimenez,November,Novembre,,,,
,,,,,2023 (48th),Albert Serra,Pacifiction,Pacifiction : Tourment sur les Îles,,,,
,,,,,2023 (48th),,,,,,,
,,,,,2023 (48th),,,,,,,
,,,,,,,,,,5.0,Roman Polanski,
,,,,,,,,,,3.0,Jacques Audiard,
,,,,,,,,,,2.0,Jean-Jacques Annaud,
,,,,,,,,,,2.0,Albert Dupontel,
,,,,,,,,,,2.0,Abdellatif Kechiche,
,,,,,,,,,,2.0,Dominik Moll,
,,,,,,,,,,2.0,Alain Resnais,
,,,,,,,,,,2.0,Claude Sautet,
,,,,,,,,,,2.0,Bertrand Tavernier,
,,,,,,,,,,,Alain Resnais,8.0
,,,,,,,,,,,Jacques Audiard,7.0
,,,,,,,,,,,Claude Miller,7.0
,,,,,,,,,,,Bertrand Tavernier,7.0
,,,,,,,,,,,André Téchiné,7.0
,,,,,,,,,,,Luc Besson,6.0
,,,,,,,,,,,François Ozon,6.0
,,,,,,,,,,,Bertrand Blier,5.0
,,,,,,,,,,,Arnaud Desplechin,5.0
,,,,,,,,,,,Patrice Leconte,5.0
,,,,,,,,,,,Roman Polanski,5.0
,,,,,,,,,,,Claude Berri,4.0
,,,,,,,,,,,Michel Deville,4.0
,,,,,,,,,,,Jean-Paul Rappeneau,4.0
,,,,,,,,,,,Claude Sautet,4.0
,,,,,,,,,,,Patrice Chéreau,3.0
,,,,,,,,,,,Alain Corneau,3.0
,,,,,,,,,,,Albert Dupontel,3.0
,,,,,,,,,,,Nicole Garcia,3.0
,,,,,,,,,,,Xavier Giannoli,3.0
,,,,,,,,,,,Abdellatif Kechiche,3.0
,,,,,,,,,,,Cedric Klapisch,3.0
,,,,,,,,,,,Maïwenn,3.0
,,,,,,,,,,,Olivier Nakache & Éric Toledano,3.0
,,,,,,,,,,,Maurice Pialat,3.0
,,,,,,,,,,,François Truffaut,3.0
